Summary,Issue Type,Description,Status,Priority,Due Date,Labels,Components,Epic Link
"[P-001] Project repository initialization",Task,"Phase: Discovery
Duration: 2 workdays
Dependencies: None
Start Date: 2025-08-15
Target Date: 2025-08-16
% Complete: 100

Evidence/Deliverable: package.json, next.config.ts, turbo.json",Done,Medium,2025-08-16,"past,discovery","Vendor Scheduling MVP",
"[P-002] Next.js 15 + TypeScript scaffolding",Task,"Phase: Build
Duration: 3 workdays
Dependencies: P-001
Start Date: 2025-08-17
Target Date: 2025-08-19
% Complete: 100

Evidence/Deliverable: src/app/, tsconfig.json, App Router structure",Done,Medium,2025-08-19,"past,build","Vendor Scheduling MVP",
"[P-003] Supabase project setup & local dev",Task,"Phase: Build
Duration: 4 workdays
Dependencies: P-001
Start Date: 2025-08-20
Target Date: 2025-08-23
% Complete: 100

Evidence/Deliverable: supabase/ directory, local Supabase running",Done,Medium,2025-08-23,"past,build","Vendor Scheduling MVP",
"[P-004] Core database schema (profiles, services, bookings)",Task,"Phase: Build
Duration: 5 workdays
Dependencies: P-003
Start Date: 2025-08-24
Target Date: 2025-08-30
% Complete: 100

Evidence/Deliverable: supabase/migrations/20250819190000_complete_database_schema.sql",Done,High,2025-08-30,"past,build","Vendor Scheduling MVP",
"[P-005] Authentication & RLS policies",Task,"Phase: Build
Duration: 4 workdays
Dependencies: P-004
Start Date: 2025-08-31
Target Date: 2025-09-04
% Complete: 100

Evidence/Deliverable: Auth routes, RLS policies in migrations",Done,High,2025-09-04,"past,build","Vendor Scheduling MVP",
"[P-006] Basic booking engine (create, confirm, cancel)",Task,"Phase: Build
Duration: 6 workdays
Dependencies: P-004
Start Date: 2025-09-05
Target Date: 2025-09-12
% Complete: 100

Evidence/Deliverable: src/lib/bookingEngine.ts, src/app/api/bookings/*/route.ts",Done,High,2025-09-12,"past,build","Vendor Scheduling MVP",
"[P-007] Availability engine (slot computation)",Task,"Phase: Build
Duration: 5 workdays
Dependencies: P-004
Start Date: 2025-09-13
Target Date: 2025-09-19
% Complete: 100

Evidence/Deliverable: src/lib/availabilityEngine.ts, tests/lib/availabilityEngine.spec.ts",Done,High,2025-09-19,"past,build","Vendor Scheduling MVP",
"[P-008] Vendor subscription lifecycle (schema + API)",Task,"Phase: Build
Duration: 5 workdays
Dependencies: P-004
Start Date: 2025-12-24
Target Date: 2025-12-30
% Complete: 100

Evidence/Deliverable: supabase/migrations/20251224205800_vendor_subscriptions.sql, /api/vendor/subscription/*",Done,High,2025-12-30,"past,build","Vendor Scheduling MVP",
"[P-009] Payment-free vendor booking flows",Task,"Phase: Build
Duration: 3 workdays
Dependencies: P-006, P-008
Start Date: 2025-12-31
Target Date: 2026-01-02
% Complete: 100

Evidence/Deliverable: src/app/api/vendor/bookings/create/route.ts, vendor_created flag",Done,High,2026-01-02,"past,build","Vendor Scheduling MVP",
"[P-010] Google Calendar OAuth foundation",Task,"Phase: Build
Duration: 4 workdays
Dependencies: P-003
Start Date: 2025-09-20
Target Date: 2025-09-25
% Complete: 100

Evidence/Deliverable: src/app/api/auth/google/*, provider_google_calendar table",Done,Medium,2025-09-25,"past,build","Vendor Scheduling MVP",
"[P-011] One-way calendar sync (free/busy read)",Task,"Phase: Build
Duration: 5 workdays
Dependencies: P-010
Start Date: 2025-09-26
Target Date: 2025-10-02
% Complete: 100

Evidence/Deliverable: src/app/api/calendar/sync/route.ts, src/lib/calendar-adapters/google.ts",Done,Medium,2025-10-02,"past,build","Vendor Scheduling MVP",
"[P-012] Credits/loyalty database schema",Task,"Phase: Build
Duration: 3 workdays
Dependencies: P-004
Start Date: 2025-10-03
Target Date: 2025-10-07
% Complete: 100

Evidence/Deliverable: user_credits, credit_transactions tables in migrations",Done,Medium,2025-10-07,"past,build","Vendor Scheduling MVP",
"[P-013] Basic credits service (earn/spend)",Task,"Phase: Build
Duration: 4 workdays
Dependencies: P-012
Start Date: 2025-10-08
Target Date: 2025-10-11
% Complete: 100

Evidence/Deliverable: src/lib/credits.ts, src/app/api/credits/*/route.ts",Done,Medium,2025-10-11,"past,build","Vendor Scheduling MVP",
"[P-014] Unit test framework (Vitest)",Task,"Phase: Verify
Duration: 3 workdays
Dependencies: P-006, P-007
Start Date: 2025-09-20
Target Date: 2025-09-24
% Complete: 100

Evidence/Deliverable: vitest.config.ts, tests/lib/bookingEngine.spec.ts, tests/lib/availabilityEngine.spec.ts",Done,Medium,2025-09-24,"past,verify","Vendor Scheduling MVP",
"[P-015] API E2E test suite (Playwright)",Task,"Phase: Verify
Duration: 5 workdays
Dependencies: P-006
Start Date: 2025-10-12
Target Date: 2025-10-18
% Complete: 100

Evidence/Deliverable: tests/api/bookings.*.spec.ts, tests/api/availability.spec.ts",Done,Medium,2025-10-18,"past,verify","Vendor Scheduling MVP",
"[P-016] UI E2E test suite (customer/vendor flows)",Task,"Phase: Verify
Duration: 4 workdays
Dependencies: P-006
Start Date: 2025-10-19
Target Date: 2025-10-24
% Complete: 100

Evidence/Deliverable: tests/e2e/bookings/customer-flow.spec.ts, tests/e2e/bookings/vendor-flow.spec.ts",Done,Medium,2025-10-24,"past,verify","Vendor Scheduling MVP",
"[P-017] Atomic booking claim (race condition fix)",Task,"Phase: Build
Duration: 3 workdays
Dependencies: P-006
Start Date: 2026-01-01
Target Date: 2026-01-03
% Complete: 100

Evidence/Deliverable: supabase/migrations/20260101135426_enforce_booking_atomicity.sql, claim_slot_and_create_booking() RPC",Done,High,2026-01-03,"past,build","Vendor Scheduling MVP",
"[P-018] Vendor scheduling UI (basic)",Task,"Phase: Build
Duration: 4 workdays
Dependencies: P-007, P-008
Start Date: 2025-12-20
Target Date: 2025-12-23
% Complete: 100

Evidence/Deliverable: src/app/vendor/schedule/page.tsx, ScheduleClient.tsx",Done,Medium,2025-12-23,"past,build","Vendor Scheduling MVP",
"[M-REQ] REQ Baseline Approved",Milestone,"Gate Milestone
Target Date: 2026-01-12
Dependencies: F-001, F-002, F-003

All requirements documents must be approved before proceeding to design phase.",To Do,High,2026-01-12,"future,milestone,requirements","Vendor Scheduling MVP",
"[M-DES] Design Baseline Approved",Milestone,"Gate Milestone
Target Date: 2026-01-19
Dependencies: F-004, F-005, F-006

All design documents must be approved before proceeding to build phase.",To Do,High,2026-01-19,"future,milestone,design","Vendor Scheduling MVP",
"[M-CODE] Code Freeze",Milestone,"Gate Milestone
Target Date: 2026-03-14
Dependencies: All Build tasks

No new code changes allowed after this date. Only bug fixes and test fixes permitted.",To Do,High,2026-03-14,"future,milestone,code-freeze","Vendor Scheduling MVP",
"[M-TEST] Test Plan Approved",Milestone,"Gate Milestone
Target Date: 2026-01-26
Dependencies: F-007, F-008

Test plans must be approved before test execution begins.",To Do,Medium,2026-01-26,"future,milestone,testing","Vendor Scheduling MVP",
"[M-RC] Release Candidate",Milestone,"Gate Milestone
Target Date: 2026-03-21
Dependencies: All Verify tasks

Release candidate build ready for staging deployment.",To Do,High,2026-03-21,"future,milestone,release","Vendor Scheduling MVP",
"[M-PROD] Production Approval",Milestone,"Gate Milestone
Target Date: 2026-03-28
Dependencies: M-RC, F-040, F-041

Final approval for production deployment.",To Do,Critical,2026-03-28,"future,milestone,production","Vendor Scheduling MVP",
"[F-001] Requirements: Vendor availability hardening",Story,"Phase: Requirements
Duration: 2 workdays
Dependencies: None
Start Date: 2026-01-05
Target Date: 2026-01-06
% Complete: 0

Evidence/Deliverable: /docs/requirements/vendor-availability-hardening.md",To Do,High,2026-01-06,"future,requirements","Vendor Scheduling MVP",
"[F-002] Requirements: Calendar sync 2-way",Story,"Phase: Requirements
Duration: 2 workdays
Dependencies: None
Start Date: 2026-01-05
Target Date: 2026-01-06
% Complete: 0

Evidence/Deliverable: /docs/requirements/calendar-sync-2way.md",To Do,High,2026-01-06,"future,requirements","Vendor Scheduling MVP",
"[F-003] Requirements: Loyalty/credits reconciliation",Story,"Phase: Requirements
Duration: 2 workdays
Dependencies: None
Start Date: 2026-01-05
Target Date: 2026-01-06
% Complete: 0

Evidence/Deliverable: /docs/requirements/loyalty-reconciliation.md",To Do,High,2026-01-06,"future,requirements","Vendor Scheduling MVP",
"[F-004] Design: Availability conflict resolution",Story,"Phase: Design
Duration: 3 workdays
Dependencies: F-001
Start Date: 2026-01-07
Target Date: 2026-01-09
% Complete: 0

Evidence/Deliverable: /docs/design/availability-conflict-resolution.md",To Do,High,2026-01-09,"future,design","Vendor Scheduling MVP",
